Date, Open, High, Low, Close
11/03/17, 23549.59, 23557.06, 23481.57, 23539.19
11/02/17, 23463.24, 23531.38, 23350.98, 23516.26
11/01/17, 23442.90, 23517.71, 23388.91, 23435.01
10/31/17, 23369.22, 23406.35, 23334.39, 23377.24
10/30/17, 23405.75, 23428.75, 23327.87, 23348.74
10/27/17, 23419.16, 23449.40, 23353.16, 23434.19
10/26/17, 23380.89, 23459.84, 23380.89, 23400.86
10/25/17, 23431.09, 23451.51, 23251.11, 23329.46
10/24/17, 23346.78, 23485.25, 23343.23, 23441.76
10/23/17, 23348.95, 23368.37, 23273.96, 23273.96
10/20/17, 23205.18, 23328.84, 23201.78, 23328.63
10/19/17, 23107.47, 23167.24, 23052.67, 23163.04
10/18/17, 23087.13, 23172.93, 23086.75, 23157.60
10/17/17, 22952.41, 23002.20, 22948.23, 22997.44
10/16/17, 22892.92, 22960.12, 22887.12, 22956.96
10/13/17, 22876.43, 22905.33, 22855.93, 22871.72
10/12/17, 22854.85, 22884.82, 22821.13, 22841.01
10/11/17, 22827.65, 22872.89, 22821.66, 22872.89
10/10/17, 22784.76, 22850.51, 22770.99, 22830.68
10/09/17, 22779.73, 22803.37, 22739.38, 22761.07
10/06/17, 22762.03, 22773.67, 22730.85, 22773.67
10/05/17, 22669.08, 22777.04, 22655.14, 22775.39
10/04/17, 22645.67, 22685.94, 22632.80, 22661.64
10/03/17, 22564.45, 22646.32, 22562.90, 22641.67
10/02/17, 22423.47, 22559.38, 22416.00, 22557.60
09/29/17, 22358.47, 22405.63, 22332.96, 22405.09
09/28/17, 22306.83, 22394.74, 22288.97, 22381.20
09/27/17, 22330.93, 22371.10, 22254.93, 22340.71
09/26/17, 22322.03, 22369.35, 22279.52, 22284.32
09/25/17, 22320.47, 22359.88, 22219.11, 22296.09
09/22/17, 22334.07, 22364.31, 22299.58, 22349.59
09/21/17, 22414.02, 22419.51, 22356.55, 22359.23
09/20/17, 22351.38, 22413.26, 22314.68, 22412.59
09/19/17, 22349.70, 22386.01, 22340.71, 22370.80
09/18/17, 22297.92, 22355.62, 22283.35, 22331.35
09/15/17, 22252.44, 22275.02, 22214.52, 22268.34
09/14/17, 22144.96, 22216.44, 22135.26, 22203.48
09/13/17, 22103.47, 22158.18, 22095.79, 22158.18
09/12/17, 22090.56, 22134.57, 22087.09, 22118.86
09/11/17, 21927.79, 22067.10, 21927.79, 22057.37
09/08/17, 21764.43, 21846.63, 21731.12, 21797.79
09/07/17, 21820.38, 21850.01, 21745.71, 21784.78
09/06/17, 21815.76, 21849.24, 21794.07, 21807.64
09/05/17, 21912.37, 21921.09, 21709.63, 21753.31
09/01/17, 21981.77, 22038.97, 21974.91, 21987.56
08/31/17, 21936.01, 21985.76, 21910.50, 21948.10
08/30/17, 21859.76, 21914.26, 21839.47, 21892.43
08/29/17, 21718.00, 21879.22, 21673.58, 21865.37
